city,latitude,longitude,population_density_per_sqkm
Albuquerque,35.0844,-106.6504,0.07476401793251033
Arlington,32.7357,-97.1081,0.093868463144555
Atlanta,33.749,-84.388,0.017705897149880787
Austin,30.2672,-97.7431,0.008091337582513966
Baltimore,39.2904,-76.6122,0.0663668625514005
Boston,42.3601,-71.0589,0.23560071196143612
Charlotte,35.2271,-80.8431,0.005466218133895394
Chicago,41.8781,-87.6298,0.1538622881185018
Colorado Springs,38.8339,-104.8214,0.0
Columbus,39.9612,-82.9988,0.023711513343409915
Dallas,32.7767,-96.797,0.019906391885341056
Denver,39.7392,-104.9903,0.031728779948326326
Detroit,42.3314,-83.0458,0.03075082303123375
El Paso,31.7619,-106.485,0.002720825018682751
Fort Worth,32.7555,-97.3308,0.05787803516831346
Fresno,36.7378,-119.7871,0.03216587205375352
Houston,29.7604,-95.3698,0.10643852805566617
Indianapolis,39.7684,-86.1581,0.052297410375950544
Jacksonville,30.3322,-81.6557,0.018977571161308257
Kansas City,39.0997,-94.5786,0.021603790673950553
Las Vegas,36.1699,-115.1398,0.13641453932618877
Long Beach,33.7701,-118.1937,0.3083145772417288
Los Angeles,34.0522,-118.2437,0.27663676692650174
Louisville,38.2527,-85.7585,0.035026038515441595
Memphis,35.1495,-90.049,0.041520083135505155
Miami,25.7617,-80.1918,0.4292163803933388
Milwaukee,43.0389,-87.9065,0.19255887359310975
Minneapolis,44.9778,-93.265,0.24659035155846065
Nashville,36.1627,-86.7816,0.0165046272359718
New Orleans,29.9511,-90.0715,0.050280259644444644
New York,40.7128,-74.006,0.19883290540842807
Oakland,37.8044,-122.2712,0.24157552636230092
Oklahoma City,35.4676,-97.5164,0.004147241369447702
Omaha,41.2565,-95.9345,0.09449916651815801
Philadelphia,39.9526,-75.1652,0.39426661298354226
Phoenix,33.4484,-112.074,0.08016899916908497
Portland,45.5051,-122.675,0.14135969380084587
Raleigh,35.7796,-78.6382,0.08328584723630915
Sacramento,38.5816,-121.4944,0.1510057885368928
San Antonio,29.4241,-98.4936,0.08426123733734636
San Diego,32.7157,-117.1611,0.12418622763844855
San Francisco,37.7749,-122.4194,0.6468853153920225
San Jose,37.3382,-121.8863,0.17850372224996827
Seattle,47.6062,-122.3321,0.27323023533302965
Tampa,27.9506,-82.4572,0.08751009308741768
Tucson,32.2226,-110.9747,0.05138032366817082
Tulsa,36.1539,-95.9928,0.040665700077077815
Virginia Beach,36.8529,-75.978,0.03220987461470257
Washington,38.9072,-77.0369,0.37469060699332696
Wichita,37.6872,-97.3301,0.05529288471255694
New York,40.7128,74.006,1.0
Urban Honolulu,21.315603,-157.858093,0.1786907331340017
Pittsburgh,40.4406,79.9979,0.1666230307937255
Newark,40.7357,74.1106,0.3926458519885857
Jersey City,40.7195,74.043,0.6204324425014869
